scaler_name,selected_features,accuracy,precision,recall,f1_score,roc_auc
StandarScaler,All Features,1.0,1.0,1.0,1.0,1.0
StandarScaler,All Features,0.9846153846153847,1.0,0.9444444444444444,0.9714285714285714,0.9976359338061466
StandarScaler,All Features,0.7230769230769231,0.5,0.6666666666666666,0.5714285714285714,0.7907801418439716
RobustScaler,All Features,0.7384615384615385,0.5185185185185185,0.7777777777777778,0.6222222222222222,0.8646572104018913
RobustScaler,All Features,0.9538461538461539,1.0,0.8333333333333334,0.9090909090909091,0.991725768321513
RobustScaler,All Features,0.7538461538461538,0.5454545454545454,0.6666666666666666,0.6,0.7955082742316785
StandardScaler,Without BP and DPF,1.0,1.0,1.0,1.0,1.0
StandardScaler,Without BP and DPF,1.0,1.0,1.0,1.0,1.0
StandardScaler,Without BP and DPF,0.7076923076923077,0.4782608695652174,0.6111111111111112,0.5365853658536586,0.7848699763593381
RobustScaler,Without BP and DPF,0.9076923076923077,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9680851063829787
RobustScaler,Without BP and DPF,0.9692307692307692,1.0,0.8888888888888888,0.9411764705882353,0.9952718676122931
RobustScaler,Without BP and DPF,0.7230769230769231,0.5,0.6666666666666666,0.5714285714285714,0.7884160756501182
