model_name,scaler_name,selected_features,accuracy,precision,recall,f1_score,roc_auc
KNN,StandardScaler,all features,0.7593984962406015,0.5806451612903226,0.8571428571428571,0.6923076923076923,0.8570120355834643
RandomForest,StandardScaler,all features,0.8045112781954887,0.6666666666666666,0.7619047619047619,0.7111111111111111,0.8817373103087388
LogReg,StandardScaler,all features,0.7518796992481203,0.5789473684210527,0.7857142857142857,0.6666666666666666,0.8506017791732077
KNN,RobustScaler,all features,0.7368421052631579,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.8169806384092098
RandomForest,RobustScaler,all features,0.7819548872180451,0.6326530612244898,0.7380952380952381,0.6813186813186813,0.881868131868132
LogReg,RobustScaler,all features,0.7669172932330827,0.6,0.7857142857142857,0.6804123711340206,0.8411826268969126
KNN,RobustScaler,without BP and DPF,0.7293233082706767,0.546875,0.8333333333333334,0.660377358490566,0.8121402407116693
RandomForest,RobustScaler,without BP and DPF,0.7744360902255639,0.62,0.7380952380952381,0.6739130434782609,0.881475667189953
LogReg,RobustScaler,without BP and DPF,0.7368421052631579,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.8691784406070121
KNN,StandardScaler,without BP and DPF,0.7218045112781954,0.5396825396825397,0.8095238095238095,0.6476190476190476,0.8046834118262689
RandomForest,StandardScaler,without BP and DPF,0.7894736842105263,0.6458333333333334,0.7380952380952381,0.6888888888888889,0.8971742543171114
LogReg,StandardScaler,without BP and DPF,0.7293233082706767,0.5535714285714286,0.7380952380952381,0.6326530612244898,0.8592360020931449
